Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0603_1608Metric",101.925000,-166.900000,180.000000,top
"C2","10n","C_0402_1005Metric",104.000000,-169.500000,180.000000,top
"C3","100n","C_0402_1005Metric",108.800000,-164.200000,180.000000,top
"C4","10n","C_0402_1005Metric",107.000000,-171.300000,-90.000000,top
"C5","22u","C_0805_2012Metric",123.200000,-165.700000,0.000000,top
"C6","10u","C_0603_1608Metric",114.080000,-160.070000,180.000000,top
"C7","100n","C_0402_1005Metric",119.000000,-150.700000,0.000000,top
"C8","10p","C_0402_1005Metric",117.900000,-154.351000,90.000000,top
"C9","100n","C_0402_1005Metric",114.080000,-158.070000,180.000000,top
"C10","100n","C_0402_1005Metric",105.187500,-154.637500,90.000000,top
"C11","10p","C_0402_1005Metric",117.900000,-152.351000,90.000000,top
"C12","100n","C_0402_1005Metric",116.400000,-156.500000,-90.000000,top
"C13","100n","C_0402_1005Metric",108.687500,-146.300000,0.000000,top
"C14","10n","C_0603_1608Metric",123.400000,-148.600000,0.000000,top
"C15","1u","C_0402_1005Metric",123.300000,-147.000000,0.000000,top
"C16","1u","C_0402_1005Metric",125.800000,-144.580000,90.000000,top
"C17","100n","C_0402_1005Metric",143.900000,-99.600000,90.000000,top
"C18","100n","C_0402_1005Metric",141.800000,-110.400000,180.000000,top
"C19","100n","C_0402_1005Metric",255.800000,-98.900000,180.000000,top
"C20","100n","C_0402_1005Metric",255.880000,-110.700000,180.000000,top
"C21","100n","C_0402_1005Metric",140.800000,-134.600000,180.000000,top
"C22","100n","C_0402_1005Metric",141.700000,-122.600000,180.000000,top
"C23","100n","C_0402_1005Metric",255.980000,-122.900000,180.000000,top
"C24","100n","C_0402_1005Metric",255.780000,-134.600000,180.000000,top
"C25","100n","C_0402_1005Metric",141.800000,-158.625000,180.000000,top
"C26","100n","C_0402_1005Metric",141.000000,-146.825000,180.000000,top
"C27","100n","C_0402_1005Metric",256.080000,-146.900000,180.000000,top
"C28","100n","C_0402_1005Metric",255.900000,-158.700000,180.000000,top
"C29","100n","C_0402_1005Metric",142.320000,-182.700000,180.000000,top
"C30","100n","C_0402_1005Metric",142.000000,-170.900000,180.000000,top
"C31","100n","C_0402_1005Metric",256.080000,-170.900000,180.000000,top
"C32","100n","C_0402_1005Metric",256.020000,-182.600000,180.000000,top
"D1","GREEN_LIGHT","LED_1206_3216Metric",121.300000,-141.525000,180.000000,top
"D2","RED","LED_0603_1608Metric",150.000000,-115.000000,90.000000,top
"D3","RED","LED_0603_1608Metric",153.000000,-115.000000,90.000000,top
"D4","RED","LED_0603_1608Metric",156.000000,-115.000000,90.000000,top
"D5","RED","LED_0603_1608Metric",159.000000,-115.000000,90.000000,top
"D6","RED","LED_0603_1608Metric",162.000000,-115.000000,90.000000,top
"D7","RED","LED_0603_1608Metric",165.000000,-115.000000,90.000000,top
"D8","RED","LED_0603_1608Metric",168.000000,-115.000000,90.000000,top
"D9","RED","LED_0603_1608Metric",171.000000,-115.000000,90.000000,top
"D10","RED","LED_0603_1608Metric",150.000000,-121.000000,90.000000,top
"D11","RED","LED_0603_1608Metric",153.000000,-121.000000,90.000000,top
"D12","RED","LED_0603_1608Metric",156.000000,-121.000000,90.000000,top
"D13","RED","LED_0603_1608Metric",159.000000,-121.000000,90.000000,top
"D14","RED","LED_0603_1608Metric",162.000000,-121.000000,90.000000,top
"D15","RED","LED_0603_1608Metric",165.000000,-121.000000,90.000000,top
"D16","RED","LED_0603_1608Metric",168.000000,-121.000000,90.000000,top
"D17","RED","LED_0603_1608Metric",171.000000,-121.000000,90.000000,top
"D18","RED","LED_0603_1608Metric",150.000000,-118.000000,90.000000,top
"D19","RED","LED_0603_1608Metric",153.000000,-118.000000,90.000000,top
"D20","RED","LED_0603_1608Metric",156.000000,-118.000000,90.000000,top
"D21","RED","LED_0603_1608Metric",159.000000,-118.000000,90.000000,top
"D22","RED","LED_0603_1608Metric",162.000000,-118.000000,90.000000,top
"D23","RED","LED_0603_1608Metric",165.000000,-118.000000,90.000000,top
"D24","RED","LED_0603_1608Metric",168.000000,-118.000000,90.000000,top
"D25","RED","LED_0603_1608Metric",171.000000,-118.000000,90.000000,top
"D26","RED","LED_0603_1608Metric",150.000000,-100.000000,90.000000,top
"D27","RED","LED_0603_1608Metric",153.000000,-100.000000,90.000000,top
"D28","RED","LED_0603_1608Metric",156.000000,-100.000000,90.000000,top
"D29","RED","LED_0603_1608Metric",159.000000,-100.000000,90.000000,top
"D30","RED","LED_0603_1608Metric",162.000000,-100.000000,90.000000,top
"D31","RED","LED_0603_1608Metric",165.000000,-100.000000,90.000000,top
"D32","RED","LED_0603_1608Metric",168.000000,-100.000000,90.000000,top
"D33","RED","LED_0603_1608Metric",171.000000,-100.000000,90.000000,top
"D34","RED","LED_0603_1608Metric",150.000000,-103.000000,90.000000,top
"D35","RED","LED_0603_1608Metric",153.000000,-103.000000,90.000000,top
"D36","RED","LED_0603_1608Metric",156.000000,-103.000000,90.000000,top
"D37","RED","LED_0603_1608Metric",159.000000,-103.000000,90.000000,top
"D38","RED","LED_0603_1608Metric",162.000000,-103.000000,90.000000,top
"D39","RED","LED_0603_1608Metric",165.000000,-103.000000,90.000000,top
"D40","RED","LED_0603_1608Metric",168.000000,-103.000000,90.000000,top
"D41","RED","LED_0603_1608Metric",171.000000,-103.000000,90.000000,top
"D42","RED","LED_0603_1608Metric",150.000000,-112.000000,90.000000,top
"D43","RED","LED_0603_1608Metric",153.000000,-112.000000,90.000000,top
"D44","RED","LED_0603_1608Metric",156.000000,-112.000000,90.000000,top
"D45","RED","LED_0603_1608Metric",159.000000,-112.000000,90.000000,top
