Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,22uF,C12891
"C10, C12, C13, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C7, C9",0402,22,100nF,C1525
"C11, C33, C8",0402,3,10pF,C32949
C14,0603,1,10nF,C57112
"C15, C16",0603,2,1uF,C15849 
C2,0603,1,8n2F,C1322360
C4,0402,1,1nF,C1523 
C5,1206,1,100uF,C15008
C6,1206,1,10uF,C13585
D1,0805,1,GREEN_LIGHT,C2297
"D10, D100, D1000, D1001, D1002, D1003, D1004, D1005, D1006, D1007, D1008, D1009, D101, D1010, D1011, D1012, D1013, D1014, D1015, D1016, D1017, D1018, D1019, D102, D1020, D1021, D1022, D1023, D1024, D1025, D103, D104, D105, D106, D107, D108, D109, D11, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D12, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D13, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D14, D140, D141, D142, D143, D144, D145, D146, D147, D148, D149, D15, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D16, D160, D161, D162, D163, D164, D165, D166, D167, D168, D169, D17, D170, D171, D172, D173, D174, D175, D176, D177, D178, D179, D18, D180, D181, D182, D183, D184, D185, D186, D187, D188, D189, D19, D190, D191, D192, D193, D194, D195, D196, D197, D198, D199, D2, D20, D200, D201, D202, D203, D204, D205, D206, D207, D208, D209, D21, D210, D211, D212, D213, D214, D215, D216, D217, D218, D219, D22, D220, D221, D222, D223, D224, D225, D226, D227, D228, D229, D23, D230, D231, D232, D233, D234, D235, D236, D237, D238, D239, D24, D240, D241, D242, D243, D244, D245, D246, D247, D248, D249, D25, D250, D251, D252, D253, D254, D255, D256",0603,200,RED,C2286
D1026,D_SMA,1,D_Schottky,C14996
"D257, D258, D259, D26, D260, D261, D262, D263, D264, D265, D266, D267, D268, D269, D27, D270, D271, D272, D273, D274, D275, D276, D277, D278, D279, D28, D280, D281, D282, D283, D284, D285, D286, D287, D288, D289, D29, D290, D291, D292, D293, D294, D295, D296, D297, D298, D299, D3, D30, D300, D301, D302, D303, D304, D305, D306, D307, D308, D309, D31, D310, D311, D312, D313, D314, D315, D316, D317, D318, D319, D32, D320, D321, D322, D323, D324, D325, D326, D327, D328, D329, D33, D330, D331, D332, D333, D334, D335, D336, D337, D338, D339, D34, D340, D341, D342, D343, D344, D345, D346, D347, D348, D349, D35, D350, D351, D352, D353, D354, D355, D356, D357, D358, D359, D36, D360, D361, D362, D363, D364, D365, D366, D367, D368, D369, D37, D370, D371, D372, D373, D374, D375, D376, D377, D378, D379, D38, D380, D381, D382, D383, D384, D385, D386, D387, D388, D389, D39, D390, D391, D392, D393, D394, D395, D396, D397, D398, D399, D4, D40, D400, D401, D402, D403, D404, D405, D406, D407, D408, D409, D41, D410, D411, D412, D413, D414, D415, D416, D417, D418, D419, D42, D420, D421, D422, D423, D424, D425, D426, D427, D428, D429, D43, D430, D431, D432, D433, D434, D435, D436",0603,200,RED,C2286
"D437, D438, D439, D44, D440, D441, D442, D443, D444, D445, D446, D447, D448, D449, D45, D450, D451, D452, D453, D454, D455, D456, D457, D458, D459, D46, D460, D461, D462, D463, D464, D465, D466, D467, D468, D469, D47, D470, D471, D472, D473, D474, D475, D476, D477, D478, D479, D48, D480, D481, D482, D483, D484, D485, D486, D487, D488, D489, D49, D490, D491, D492, D493, D494, D495, D496, D497, D498, D499, D5, D50, D500, D501, D502, D503, D504, D505, D506, D507, D508, D509, D51, D510, D511, D512, D513, D514, D515, D516, D517, D518, D519, D52, D520, D521, D522, D523, D524, D525, D526, D527, D528, D529, D53, D530, D531, D532, D533, D534, D535, D536, D537, D538, D539, D54, D540, D541, D542, D543, D544, D545, D546, D547, D548, D549, D55, D550, D551, D552, D553, D554, D555, D556, D557, D558, D559, D56, D560, D561, D562, D563, D564, D565, D566, D567, D568, D569, D57, D570, D571, D572, D573, D574, D575, D576, D577, D578, D579, D58, D580, D581, D582, D583, D584, D585, D586, D587, D588, D589, D59, D590, D591, D592, D593, D594, D595, D596, D597, D598, D599, D6, D60, D600, D601, D602, D603, D604, D605, D606, D607, D608, D609, D61, D610, D611, D612, D613, D614, D615, D616",0603,200,RED,C2286
"D617, D618, D619, D62, D620, D621, D622, D623, D624, D625, D626, D627, D628, D629, D63, D630, D631, D632, D633, D634, D635, D636, D637, D638, D639, D64, D640, D641, D642, D643, D644, D645, D646, D647, D648, D649, D65, D650, D651, D652, D653, D654, D655, D656, D657, D658, D659, D66, D660, D661, D662, D663, D664, D665, D666, D667, D668, D669, D67, D670, D671, D672, D673, D674, D675, D676, D677, D678, D679, D68, D680, D681, D682, D683, D684, D685, D686, D687, D688, D689, D69, D690, D691, D692, D693, D694, D695, D696, D697, D698, D699, D7, D70, D700, D701, D702, D703, D704, D705, D706, D707, D708, D709, D71, D710, D711, D712, D713, D714, D715, D716, D717, D718, D719, D72, D720, D721, D722, D723, D724, D725, D726, D727, D728, D729, D73, D730, D731, D732, D733, D734, D735, D736, D737, D738, D739, D74, D740, D741, D742, D743, D744, D745, D746, D747, D748, D749, D75, D750, D751, D752, D753, D754, D755, D756, D757, D758, D759, D76, D760, D761, D762, D763, D764, D765, D766, D767, D768, D769, D77, D770, D771, D772, D773, D774, D775, D776, D777, D778, D779, D78, D780, D781, D782, D783, D784, D785, D786, D787, D788, D789, D79, D790, D791, D792, D793, D794, D795, D796, D797",0603,200,RED,C2286
"D798, D799, D8, D80, D800, D801, D802, D803, D804, D805, D806, D807, D808, D809, D81, D810, D811, D812, D813, D814, D815, D816, D817, D818, D819, D82, D820, D821, D822, D823, D824, D825, D826, D827, D828, D829, D83, D830, D831, D832, D833, D834, D835, D836, D837, D838, D839, D84, D840, D841, D842, D843, D844, D845, D846, D847, D848, D849, D85, D850, D851, D852, D853, D854, D855, D856, D857, D858, D859, D86, D860, D861, D862, D863, D864, D865, D866, D867, D868, D869, D87, D870, D871, D872, D873, D874, D875, D876, D877, D878, D879, D88, D880, D881, D882, D883, D884, D885, D886, D887, D888, D889, D89, D890, D891, D892, D893, D894, D895, D896, D897, D898, D899, D9, D90, D900, D901, D902, D903, D904, D905, D906, D907, D908, D909, D91, D910, D911, D912, D913, D914, D915, D916, D917, D918, D919, D92, D920, D921, D922, D923, D924, D925, D926, D927, D928, D929, D93, D930, D931, D932, D933, D934, D935, D936, D937, D938, D939, D94, D940, D941, D942, D943, D944, D945, D946, D947, D948, D949, D95, D950, D951, D952, D953, D954, D955, D956, D957, D958, D959, D96, D960, D961, D962, D963, D964, D965, D966, D967, D968, D969, D97, D970, D971, D972, D973, D974, D975, D976, D977",0603,200,RED,C2286
"D978, D979, D98, D980, D981, D982, D983, D984, D985, D986, D987, D988, D989, D99, D990, D991, D992, D993, D994, D995, D996, D997, D998, D999",0603,24,RED,C2286
FB1,0603,1,120FB,C14709
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,C5116483
J2,USB_Micro-B_Molex-105017-0001,1,USB_B_Micro,C136000
L1,L_Bourns-SRN8040_8x8.15mm,1,3.6uH,C6496151 
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",SOT-23,8,Q_NMOS_GDS,C8545 
"R1, R4",0805,2,10k,C17414
"R10, R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R11, R110, R111, R112, R113, R114, R115, R116, R117, R118, R119, R12, R120, R121, R122, R123, R124, R125, R126, R127, R128, R129, R13, R130, R131, R132, R133, R134, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R7, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R8, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R9, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99",0402,128,200,C25087
R135,0402,1,33k,C25779 
R136,0402,1,3.3k,C25890
R2,0402,1,2k,C4109
R3,0603,1,1k2,C22765
R5,0402,1,470,C25117
R6,0603,1,1k5,C22843
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,TPS54331DR,C9865
