Designator,Mid X,Mid Y,Rotation,Layer
C1,103.3,-177.38,270.0,top
C10,105.1875,-154.6375,90.0,top
C11,117.9,-152.351,90.0,top
C12,116.4,-156.5,270.0,top
C13,108.6875,-146.3,0.0,top
C14,123.4,-148.6,0.0,top
C15,123.3,-147.0,0.0,top
C16,125.8,-144.58,90.0,top
C17,143.9,-99.6,90.0,top
C18,141.8,-110.4,180.0,top
C19,255.8,-98.9,180.0,top
C2,103.86,-180.85,180.0,top
C20,255.88,-110.7,180.0,top
C21,140.8,-134.6,180.0,top
C22,141.7,-122.6,180.0,top
C23,255.98,-122.9,180.0,top
C24,255.78,-134.6,180.0,top
C25,141.8,-158.625,180.0,top
C26,141.0,-146.825,180.0,top
C27,256.08,-146.9,180.0,top
C28,255.9,-158.7,180.0,top
C29,142.32,-182.7,180.0,top
C3,108.35,-173.76,180.0,top
C30,142.0,-170.9,180.0,top
C31,256.08,-170.9,180.0,top
C32,256.02,-182.6,180.0,top
C33,106.46,-181.49,270.0,top
C4,109.67,-183.82,90.0,top
C5,124.05,-174.93,90.0,top
C6,115.745,-160.41,180.0,top
C7,119.0,-150.7,0.0,top
C8,117.9,-154.351,90.0,top
C9,114.08,-158.07,180.0,top
D1,121.3,-141.525,180.0,top
D10,150.0,-121.0,90.0,top
D100,180.0,-103.0,90.0,top
D1000,240.0,-175.0,90.0,top
D1001,243.0,-175.0,90.0,top
D1002,222.0,-184.0,90.0,top
D1003,225.0,-184.0,90.0,top
D1004,228.0,-184.0,90.0,top
D1005,231.0,-184.0,90.0,top
D1006,234.0,-184.0,90.0,top
D1007,237.0,-184.0,90.0,top
D1008,240.0,-184.0,90.0,top
D1009,243.0,-184.0,90.0,top
D101,183.0,-103.0,90.0,top
D1010,222.0,-181.0,90.0,top
D1011,225.0,-181.0,90.0,top
D1012,228.0,-181.0,90.0,top
D1013,231.0,-181.0,90.0,top
D1014,234.0,-181.0,90.0,top
D1015,237.0,-181.0,90.0,top
D1016,240.0,-181.0,90.0,top
D1017,243.0,-181.0,90.0,top
D1018,222.0,-178.0,90.0,top
D1019,225.0,-178.0,90.0,top
D102,186.0,-103.0,90.0,top
D1020,228.0,-178.0,90.0,top
D1021,231.0,-178.0,90.0,top
D1022,234.0,-178.0,90.0,top
D1023,237.0,-178.0,90.0,top
D1024,240.0,-178.0,90.0,top
D1025,243.0,-178.0,90.0,top
D1026,116.1125,-170.54,0.0,top
D103,189.0,-103.0,90.0,top
D104,192.0,-103.0,90.0,top
D105,195.0,-103.0,90.0,top
D106,174.0,-112.0,90.0,top
D107,177.0,-112.0,90.0,top
D108,180.0,-112.0,90.0,top
